class_name,run,timestamp,wall_clock_secs,total_cost_usd,sdk_turns,tool_Read,tool_Edit,tool_Bash,tool_Write,tool_Grep,tool_Glob,tool_Task,tool_mcp_validate_dfa,tool_mcp_verify_liquidjava,tool_mcp_generate_tests,tool_mcp_generate_refinements,total_tool_calls,total_tool_errors,spawn_protocol_analyzer,spawn_java_test_completer,spawn_liquidjava_spec_writer,spawn_liquidjava_verifier,total_agent_spawns,total_turns
abstractundoableedit,1,2026-03-10T17:48:10.458478+00:00,339.95,1.274606,5,19,1,14,1,1,1,4,1,1,1,1,45,2,1,1,1,1,4,51
abstractundoableedit,2,2026-03-10T17:52:39.055184+00:00,608.49,2.520858,2,17,3,5,1,0,1,4,1,2,0,1,35,1,1,1,1,1,4,44
abstractundoableedit,3,2026-03-10T17:57:29.269382+00:00,542.67,2.775826,2,31,1,0,2,0,1,4,1,2,0,0,42,1,1,1,1,1,4,52
abstractundoableedit,4,2026-03-10T17:57:16.634571+00:00,271.63,1.251536,5,26,0,16,2,2,2,4,1,1,1,1,56,4,1,1,1,1,4,62
abstractundoableedit,5,2026-03-10T18:03:09.592662+00:00,346.01,1.47883,5,37,3,11,2,3,5,4,2,2,1,1,71,0,1,1,1,1,4,77
bufferedinputstream,1,2026-03-10T18:02:12.566896+00:00,274.46,1.247872,5,23,0,12,2,4,3,4,1,1,1,1,52,2,1,1,1,1,4,58
bufferedinputstream,2,2026-03-10T18:10:09.011092+00:00,456.14,2.671701,5,142,1,9,2,4,6,4,1,2,1,1,173,1,1,1,1,1,4,179
bufferedinputstream,3,2026-03-10T18:10:40.233971+00:00,438.99,1.534032,5,32,2,18,1,1,1,4,1,2,1,1,64,2,1,1,1,1,4,70
bufferedinputstream,4,2026-03-10T18:16:15.648377+00:00,335.47,1.495657,5,25,0,12,3,4,5,4,2,1,1,1,58,0,1,1,1,1,4,64
bufferedinputstream,5,2026-03-10T18:15:50.055080+00:00,290.98,1.32882,6,24,0,14,3,0,2,4,2,1,1,1,52,1,1,1,1,1,4,60
bufferedreader,1,2026-03-10T18:21:02.890899+00:00,310.7,1.293027,6,26,4,18,2,0,1,4,2,1,1,1,60,0,1,1,1,1,4,67
bufferedreader,2,2026-03-10T18:28:13.534610+00:00,694.53,3.391008,5,97,4,26,4,11,4,4,2,6,1,1,160,2,1,1,1,1,4,166
bufferedreader,3,2026-03-10T18:34:15.689485+00:00,772.91,3.055063,5,35,11,24,9,1,8,4,7,14,1,1,115,2,1,1,1,1,4,121
bufferedreader,4,2026-03-10T18:38:23.055606+00:00,607.27,3.025439,2,12,8,0,1,0,1,4,6,1,0,0,33,0,1,1,1,1,4,43
bufferedreader,5,2026-03-10T18:45:34.545583+00:00,654.96,2.914674,5,94,1,11,77,4,3,4,2,3,1,1,201,1,1,1,1,1,4,208
choicecallback,1,2026-03-10T18:56:34.529376+00:00,1080.68,0.0,0,88,8,15,68,2,4,4,4,19,1,1,214,1,1,1,1,1,4,219
choicecallback,2,2026-03-10T18:46:47.534724+00:00,70.62,0.285575,2,2,0,0,1,0,0,1,1,0,0,0,5,0,1,0,0,0,1,8
choicecallback,3,2026-03-10T18:48:09.328167+00:00,81.77,0.273456,2,2,0,0,1,0,0,1,1,0,0,0,5,0,1,0,0,0,1,8
choicecallback,4,2026-03-10T19:06:11.537431+00:00,1082.18,0.0,0,46,0,29,23,0,10,4,1,23,1,1,138,1,1,1,1,1,4,143
choicecallback,5,2026-03-10T19:03:04.710176+00:00,390.13,1.62797,6,47,2,4,4,3,3,4,3,3,1,1,75,0,1,1,1,1,4,83
clipboard,1,2026-03-10T19:08:24.065145+00:00,316.57,1.34081,5,35,0,9,4,1,3,4,3,1,1,1,62,1,1,1,1,1,4,68
clipboard,2,2026-03-10T19:07:09.333596+00:00,53.54,0.196064,2,1,0,0,0,0,0,1,1,0,0,0,3,0,1,0,0,0,1,5
clipboard,3,2026-03-10T19:08:12.139206+00:00,62.76,0.248061,2,2,0,1,1,0,0,1,1,0,0,0,6,0,1,0,0,0,1,8
clipboard,4,2026-03-10T19:08:50.089244+00:00,37.92,0.17088,2,1,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,1,4
clipboard,5,2026-03-10T19:09:18.337320+00:00,49.23,0.168492,2,1,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,1,4
datagramsocket,1,2026-03-10T19:20:24.512006+00:00,694.33,3.153228,6,35,24,25,1,1,1,4,2,2,1,1,97,3,1,1,1,1,4,106
datagramsocket,2,2026-03-10T19:18:50.181958+00:00,571.74,2.846773,2,54,4,0,2,2,1,4,2,2,0,0,71,0,1,1,1,1,4,81
datagramsocket,3,2026-03-10T19:35:57.209424+00:00,1008.99,5.797579,6,82,10,13,72,1,3,4,2,2,1,1,191,2,1,1,1,1,4,200
datagramsocket,4,2026-03-10T19:38:38.736106+00:00,1069.38,6.894537,5,94,19,15,79,2,4,4,4,4,1,1,227,3,1,1,1,1,4,233
datagramsocket,5,2026-03-10T19:47:05.567585+00:00,652.11,2.704713,2,12,10,0,1,1,1,4,2,4,0,0,35,0,1,1,1,1,4,45
defaultmutabletreenode,1,2026-03-10T19:48:25.471508+00:00,568.9,2.727169,2,6,3,0,4,2,1,4,5,1,0,0,26,1,1,1,1,1,4,36
defaultmutabletreenode,2,2026-03-10T20:00:54.933189+00:00,782.03,4.877511,2,16,1,0,3,0,1,4,2,3,0,0,30,0,1,1,1,1,4,40
defaultmutabletreenode,3,2026-03-10T19:53:58.832126+00:00,320.85,1.9833,2,4,0,0,2,0,1,4,2,1,0,0,14,0,1,1,1,1,4,24
defaultmutabletreenode,4,2026-03-10T19:59:57.694939+00:00,349.17,1.927392,8,10,0,0,2,0,1,4,2,1,0,0,22,0,1,1,1,1,4,31
defaultmutabletreenode,5,2026-03-10T20:06:02.741245+00:00,349.8,1.950965,7,6,0,0,2,0,1,4,2,1,0,0,18,0,1,1,1,1,4,25
deflateroutputstream,1,2026-03-10T20:15:48.408883+00:00,886.0,3.581318,6,55,0,42,5,3,2,4,2,4,1,1,119,7,1,1,1,1,4,127
deflateroutputstream,2,2026-03-10T20:11:32.710685+00:00,313.33,1.519281,5,32,1,14,2,4,4,4,2,1,1,1,66,2,1,1,1,1,4,72
deflateroutputstream,3,2026-03-10T20:17:01.346518+00:00,315.83,1.447361,2,6,0,0,2,0,1,4,2,1,0,0,16,0,1,1,1,1,4,25
deflateroutputstream,4,2026-03-10T20:21:37.013104+00:00,332.81,1.478044,2,4,0,0,2,0,1,4,2,1,0,0,14,0,1,1,1,1,4,24
deflateroutputstream,5,2026-03-10T20:24:29.390034+00:00,435.29,1.881976,2,8,1,0,2,0,2,4,2,2,0,0,21,0,1,1,1,1,4,31
dragsoucecontext,1,2026-03-10T20:29:14.486895+00:00,446.86,2.527229,2,8,2,0,1,0,2,4,2,2,0,0,21,0,1,1,1,1,4,30
dragsoucecontext,2,2026-03-10T20:32:07.270531+00:00,446.61,2.003923,2,7,2,0,1,0,1,4,2,1,0,0,18,0,1,1,1,1,4,28
dragsoucecontext,3,2026-03-10T20:35:40.205138+00:00,368.19,1.624528,2,5,0,0,1,0,1,4,1,1,0,0,13,0,1,1,1,1,4,23
dragsoucecontext,4,2026-03-10T20:39:06.090970+00:00,401.25,1.774743,5,27,3,21,11,0,1,4,3,1,1,1,73,2,1,1,1,1,4,79
dragsoucecontext,5,2026-03-10T20:42:44.690206+00:00,396.85,2.372374,2,4,0,0,1,0,1,4,1,1,0,0,12,0,1,1,1,1,4,23
droptarget,1,2026-03-10T20:48:52.885645+00:00,561.9,2.079047,6,42,6,21,2,0,3,4,2,4,1,1,86,4,1,1,1,1,4,94
droptarget,2,2026-03-10T20:50:57.712477+00:00,476.02,2.152245,6,36,7,19,2,0,1,4,2,2,1,1,75,1,1,1,1,1,4,85
droptarget,3,2026-03-10T20:52:03.573683+00:00,184.06,0.552409,3,3,0,0,2,0,0,1,2,0,0,0,8,0,1,0,0,0,1,12
droptarget,4,2026-03-10T20:53:02.372230+00:00,120.63,0.400808,2,1,0,0,2,0,0,1,2,0,0,0,6,0,1,0,0,0,1,9
droptarget,5,2026-03-10T21:06:29.347373+00:00,865.72,4.785466,6,84,7,10,65,1,5,4,1,4,1,1,183,1,1,1,1,1,4,191
flatteningpathiterator,1,2026-03-10T20:57:19.483370+00:00,257.08,1.406569,2,12,1,0,2,0,1,4,2,2,0,0,24,0,1,1,1,1,4,34
flatteningpathiterator,2,2026-03-10T21:02:59.277519+00:00,336.38,1.409939,5,37,1,6,3,3,5,4,2,2,1,1,65,0,1,1,1,1,4,71
flatteningpathiterator,3,2026-03-10T21:13:45.266527+00:00,645.95,3.62351,5,71,0,3,63,7,2,4,2,1,1,1,155,0,1,1,1,1,4,162
flatteningpathiterator,4,2026-03-10T21:10:53.447902+00:00,259.93,1.373168,2,15,1,0,2,0,1,4,2,2,0,0,27,0,1,1,1,1,4,37
flatteningpathiterator,5,2026-03-10T21:14:26.505399+00:00,209.57,1.236297,1,1,0,0,2,0,0,3,2,0,0,0,8,0,1,1,1,0,3,15
imagereadparam,1,2026-03-10T21:14:31.843615+00:00,41.95,0.171834,2,1,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,1,4
imagereadparam,2,2026-03-10T21:15:06.828679+00:00,40.27,0.190088,2,1,0,1,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,5
imagereadparam,3,2026-03-10T21:15:09.827557+00:00,37.95,0.192556,2,2,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,5
imagereadparam,4,2026-03-10T21:15:58.543713+00:00,51.68,0.19524,2,1,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,1,5
imagereadparam,5,2026-03-10T21:15:48.526373+00:00,38.65,0.187232,2,1,0,1,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,5
imagewriteparam,1,2026-03-10T21:23:52.419258+00:00,483.8,2.917299,5,26,3,26,3,3,3,4,4,2,1,1,76,1,1,1,1,1,4,82
imagewriteparam,2,2026-03-10T21:23:37.050144+00:00,458.42,2.954897,5,24,11,20,2,5,3,4,3,2,1,1,76,3,1,1,1,1,4,82
imagewriteparam,3,2026-03-10T21:32:32.571469+00:00,522.72,3.12,5,25,3,38,2,0,2,4,3,2,1,1,81,2,1,1,1,1,4,87
imagewriteparam,4,2026-03-10T21:43:41.886913+00:00,1174.23,0.0,0,36,1,7,2,0,2,4,2,2,0,0,56,1,1,1,1,1,4,66
imagewriteparam,5,2026-03-10T21:41:13.185234+00:00,520.48,2.959168,6,30,10,28,2,0,1,4,4,2,1,1,83,4,1,1,1,1,4,90
kerberoskey,1,2026-03-10T21:51:01.853532+00:00,588.56,4.28235,2,8,0,0,1,0,1,4,1,1,0,0,16,0,1,1,1,1,4,26
kerberoskey,2,2026-03-10T21:47:43.023565+00:00,216.63,1.110326,5,25,0,11,2,2,2,4,1,1,1,1,50,1,1,1,1,1,4,56
kerberoskey,3,2026-03-10T21:51:16.729794+00:00,207.92,1.103607,5,27,0,9,2,3,1,4,1,1,1,1,50,1,1,1,1,1,4,56
kerberoskey,4,2026-03-10T21:54:51.642145+00:00,224.63,1.124358,5,29,0,13,2,2,4,4,1,1,1,1,58,2,1,1,1,1,4,64
kerberoskey,5,2026-03-10T21:55:42.756260+00:00,261.51,1.371123,5,33,1,13,2,5,3,4,1,2,1,1,66,1,1,1,1,1,4,72
kerberosticket,1,2026-03-10T21:59:17.064015+00:00,265.34,1.535517,6,47,1,16,2,0,4,4,2,1,1,1,79,2,1,1,1,1,4,86
kerberosticket,2,2026-03-10T21:59:51.170467+00:00,243.47,1.31501,2,6,1,0,1,0,1,4,2,1,0,0,16,0,1,1,1,1,4,26
kerberosticket,3,2026-03-10T22:03:57.390782+00:00,277.11,1.193625,7,7,0,0,1,0,1,4,1,1,0,0,17,0,1,1,1,1,4,24
kerberosticket,4,2026-03-10T22:03:55.173422+00:00,240.42,1.350879,7,10,0,0,1,0,1,4,1,1,0,0,20,0,1,1,1,1,4,27
kerberosticket,5,2026-03-10T22:07:53.956056+00:00,236.61,1.205693,6,22,0,17,2,0,2,4,1,1,1,1,51,1,1,1,1,1,4,57
logincontext,1,2026-03-10T22:10:10.755827+00:00,370.16,1.812963,5,41,1,27,1,1,3,4,1,1,1,1,82,0,1,1,1,1,4,88
logincontext,2,2026-03-10T22:13:14.722080+00:00,318.8,1.465039,7,11,0,0,1,0,1,4,1,1,0,0,21,0,1,1,1,1,4,28
logincontext,3,2026-03-10T22:14:42.894428+00:00,265.67,1.37011,5,36,1,14,1,2,3,4,1,1,1,1,65,1,1,1,1,1,4,71
logincontext,4,2026-03-10T22:18:11.645025+00:00,290.49,1.469292,6,36,1,17,2,1,3,4,2,1,1,1,69,1,1,1,1,1,4,76
logincontext,5,2026-03-10T22:19:11.999280+00:00,262.49,1.433204,2,11,0,3,1,0,0,4,1,1,0,0,21,0,1,1,1,1,4,31
mlet,1,2026-03-10T22:27:14.407684+00:00,533.39,2.48337,2,12,3,2,2,3,1,4,2,3,0,0,32,2,1,1,1,1,4,42
mlet,2,2026-03-10T22:26:30.873058+00:00,432.39,2.561236,6,49,4,35,4,1,2,4,5,1,1,1,107,0,1,1,1,1,4,115
mlet,3,2026-03-10T22:39:17.656029+00:00,761.05,2.859728,5,31,4,49,3,0,1,4,2,3,1,1,99,2,1,1,1,1,4,107
mlet,4,2026-03-10T22:39:31.483745+00:00,724.53,4.059116,5,65,2,38,16,5,5,4,2,3,1,1,142,5,1,1,1,1,4,148
mlet,5,2026-03-10T22:49:02.584497+00:00,571.17,3.022209,2,16,9,0,2,0,1,4,4,3,0,0,39,0,1,1,1,1,4,50
pipedoutputstream,1,2026-03-11T00:03:58.599655+00:00,0.0,0.0,0,2,0,0,1,0,0,3,1,0,0,0,9,0,1,1,1,0,3,13
pipedoutputstream,2,2026-03-11T00:09:18.168410+00:00,430.27,2.018484,2,29,1,1,1,0,2,4,1,2,0,0,41,1,1,1,1,1,4,51
pipedoutputstream,3,2026-03-11T00:16:42.569430+00:00,436.53,1.900132,5,42,7,7,1,1,3,4,3,4,1,1,74,2,1,1,1,1,4,80
pipedoutputstream,4,2026-03-11T00:24:29.139223+00:00,456.11,2.521185,5,135,5,9,2,0,5,4,2,2,1,1,166,0,1,1,1,1,4,172
pipedoutputstream,5,2026-03-11T00:37:23.393274+00:00,767.18,8.151763,2,26,2,0,2,0,1,4,3,2,0,0,40,0,1,1,1,1,4,50
pipedwriter,1,2026-03-11T02:23:26.054142+00:00,706.06,6.495703,2,23,0,5,2,0,1,4,1,4,0,0,40,1,1,1,1,1,4,50
pipedwriter,2,2026-03-11T02:17:36.534664+00:00,356.52,1.910825,2,32,3,1,2,1,4,4,2,4,0,0,53,1,1,1,1,1,4,64
pipedwriter,3,2026-03-11T02:31:46.671861+00:00,843.03,5.802865,2,25,1,1,2,0,4,4,1,4,0,0,42,2,1,1,1,1,4,52
pipedwriter,4,2026-03-11T02:41:38.811893+00:00,1084.68,0.0,0,20,9,3,3,0,5,4,2,18,0,0,64,1,1,1,1,1,4,73
pipedwriter,5,2026-03-11T02:40:26.338435+00:00,519.61,2.628155,2,36,0,1,8,3,11,4,2,6,0,0,71,1,1,1,1,1,4,81
popupmenu,1,2026-03-11T02:41:29.912975+00:00,63.52,0.257161,2,2,0,0,1,0,0,1,1,0,0,0,5,0,1,0,0,0,1,7
popupmenu,2,2026-03-11T02:46:26.522090+00:00,296.59,1.229813,2,26,0,0,2,0,1,4,2,1,0,0,36,0,1,1,1,1,4,47
popupmenu,3,2026-03-11T02:46:46.173097+00:00,305.14,1.54789,5,74,2,6,3,2,3,4,2,2,1,1,100,0,1,1,1,1,4,106
popupmenu,4,2026-03-11T02:47:52.841516+00:00,83.75,0.269371,2,1,0,0,2,0,0,1,2,0,0,0,6,0,1,0,0,0,1,9
popupmenu,5,2026-03-11T02:48:22.646473+00:00,92.69,0.274687,3,3,0,0,1,0,0,1,1,0,0,0,6,0,1,0,0,0,1,10
requiredmodelmbean,1,2026-03-11T03:08:30.580932+00:00,592.85,2.613048,2,6,2,0,1,0,1,4,2,1,0,0,17,0,1,1,1,1,4,28
requiredmodelmbean,2,2026-03-11T03:10:48.651804+00:00,439.92,3.03338,6,64,6,36,3,5,4,4,2,2,1,1,128,7,1,1,1,1,4,135
requiredmodelmbean,3,2026-03-11T03:14:27.840393+00:00,357.16,1.776438,5,40,6,16,1,0,3,4,2,2,1,1,76,1,1,1,1,1,4,82
requiredmodelmbean,4,2026-03-11T03:17:39.258993+00:00,410.52,2.192999,6,31,5,34,2,0,2,4,2,2,1,1,84,1,1,1,1,1,4,91
requiredmodelmbean,5,2026-03-11T03:20:32.940910+00:00,358.86,2.001525,5,43,4,16,3,1,2,4,2,1,1,1,78,1,1,1,1,1,4,84
rmiconnector,1,2026-03-11T02:52:59.104613+00:00,306.23,1.512942,2,6,0,0,1,0,1,4,1,1,0,0,14,0,1,1,1,1,4,24
rmiconnector,2,2026-03-11T02:54:04.863823+00:00,342.18,1.393195,6,25,1,22,2,0,2,4,1,2,1,1,61,0,1,1,1,1,4,68
rmiconnector,3,2026-03-11T02:57:56.427735+00:00,292.45,1.497175,6,47,1,8,1,2,6,4,1,1,1,1,73,0,1,1,1,1,4,80
rmiconnector,4,2026-03-11T02:58:33.393443+00:00,264.31,1.221494,2,6,0,0,1,0,1,4,1,1,0,0,14,0,1,1,1,1,4,24
rmiconnector,5,2026-03-11T03:03:12.566894+00:00,302.21,1.419973,5,20,1,18,1,5,3,4,1,1,1,1,56,0,1,1,1,1,4,62
serversocket,1,2026-03-11T03:34:07.626365+00:00,830.56,4.622064,2,15,9,15,2,1,5,4,2,5,0,0,58,1,1,1,1,1,4,69
serversocket,2,2026-03-11T03:33:55.480178+00:00,795.06,4.070423,8,41,14,34,8,2,4,4,3,9,1,1,121,4,1,1,1,1,4,127
serversocket,3,2026-03-11T03:41:24.540299+00:00,441.76,2.892601,2,20,10,0,1,1,1,4,2,4,0,0,43,0,1,1,1,1,4,53
serversocket,4,2026-03-11T03:43:29.271680+00:00,553.16,3.004464,6,42,10,28,3,5,4,4,3,4,1,1,105,3,1,1,1,1,4,112
serversocket,5,2026-03-11T03:57:57.669093+00:00,992.99,8.591769,6,138,3,9,117,4,3,4,3,2,1,1,285,4,1,1,1,1,4,295
socket,1,2026-03-11T03:53:57.656105+00:00,628.23,3.458547,6,46,21,10,3,3,1,4,3,3,1,1,96,1,1,1,1,1,4,104
socket,2,2026-03-11T04:02:42.667040+00:00,503.93,3.27502,5,41,13,26,2,5,3,4,2,3,1,1,101,6,1,1,1,1,4,107
socket,3,2026-03-11T04:09:11.843158+00:00,665.82,4.290954,5,66,24,25,2,3,4,4,2,3,1,1,135,2,1,1,1,1,4,141
socket,4,2026-03-11T04:10:43.700480+00:00,469.21,3.072007,5,25,26,23,1,2,4,4,2,2,1,1,91,2,1,1,1,1,4,97
socket,5,2026-03-11T04:21:33.697723+00:00,705.66,4.213922,5,45,27,21,3,1,2,4,3,5,1,1,113,0,1,1,1,1,4,119
sqlexception,1,2026-03-11T03:18:16.725195+00:00,25.62,0.159717,2,1,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,1,4
sqlexception,2,2026-03-11T03:18:45.858622+00:00,29.1,0.162704,2,1,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,1,4
sqlexception,3,2026-03-11T03:19:17.147243+00:00,31.19,0.160979,2,1,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,1,4
sqlexception,4,2026-03-11T03:19:49.701757+00:00,32.51,0.163648,2,1,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,1,4
sqlexception,5,2026-03-11T03:20:17.004102+00:00,27.26,0.158667,2,1,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,1,4
threadgroup,1,2026-03-11T04:18:04.402009+00:00,415.5,2.294158,5,55,4,20,4,5,4,4,2,5,1,1,105,4,1,1,1,1,4,111
threadgroup,2,2026-03-11T04:25:23.921282+00:00,431.43,2.445605,2,15,2,3,2,0,1,4,2,2,0,0,31,0,1,1,1,1,4,42
threadgroup,3,2026-03-11T04:26:50.035786+00:00,290.68,1.844207,6,37,7,19,3,1,5,4,2,2,1,1,82,1,1,1,1,1,4,88
threadgroup,4,2026-03-11T04:37:45.164488+00:00,733.26,2.958906,6,45,8,36,9,1,3,4,2,12,1,1,122,2,1,1,1,1,4,129
threadgroup,5,2026-03-11T04:34:31.892434+00:00,453.95,2.074526,5,46,9,25,3,1,3,4,2,2,1,1,97,1,1,1,1,1,4,103
throwable,1,2026-03-11T04:42:19.933707+00:00,460.03,3.385988,5,70,1,10,58,2,4,4,1,1,1,1,153,1,1,1,1,1,4,159
throwable,2,2026-03-11T04:47:29.549617+00:00,582.21,3.417333,6,69,0,11,58,4,2,4,1,1,1,1,152,1,1,1,1,1,4,160
throwable,3,2026-03-11T04:50:00.609503+00:00,460.62,3.570324,5,72,2,12,59,3,2,4,1,1,1,1,158,2,1,1,1,1,4,164
throwable,4,2026-03-11T04:58:52.176262+00:00,680.19,4.604599,6,77,2,19,72,1,4,4,1,1,1,1,183,3,1,1,1,1,4,191
throwable,5,2026-03-11T04:58:37.214288+00:00,512.91,3.164001,5,67,0,11,58,0,5,4,1,1,1,1,149,1,1,1,1,1,4,157
transformerexception,1,2026-03-11T05:03:40.126826+00:00,300.47,1.335653,6,40,3,9,1,0,1,4,2,2,1,1,64,1,1,1,1,1,4,71
transformerexception,2,2026-03-11T05:07:03.199657+00:00,490.93,3.328668,5,74,2,8,57,1,2,4,1,2,1,1,153,0,1,1,1,1,4,159
transformerexception,3,2026-03-11T05:11:14.709460+00:00,452.2,3.001919,5,69,1,4,57,1,2,4,1,1,1,1,142,0,1,1,1,1,4,148
transformerexception,4,2026-03-11T05:07:45.105547+00:00,39.35,0.173673,2,1,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,1,4
transformerexception,5,2026-03-11T05:12:37.813675+00:00,292.68,1.760725,6,82,2,9,3,6,3,4,1,2,1,1,114,2,1,1,1,1,4,121
undomanager,1,2026-03-11T05:38:23.814536+00:00,652.01,3.060058,6,95,1,5,82,2,2,4,2,4,1,1,199,2,1,1,1,1,4,206
undomanager,2,2026-03-11T05:38:02.402646+00:00,467.12,2.291862,5,73,39,10,37,1,2,4,1,2,1,1,171,2,1,1,1,1,4,177
undomanager,3,2026-03-11T05:50:23.822977+00:00,738.77,4.690872,6,82,59,10,23,3,2,4,1,2,1,1,188,4,1,1,1,1,4,197
undomanager,4,2026-03-11T05:48:35.123258+00:00,608.44,3.440249,6,56,58,17,2,4,4,4,2,2,1,1,151,2,1,1,1,1,4,159
undomanager,5,2026-03-11T05:59:25.479482+00:00,647.81,4.532065,5,96,51,10,25,3,4,4,1,2,1,1,198,2,1,1,1,1,4,204
uuid,1,2026-03-11T05:16:06.049533+00:00,288.81,1.878873,2,11,0,3,1,0,1,4,1,1,0,0,22,0,1,1,1,1,4,32
uuid,2,2026-03-11T05:30:12.664290+00:00,1050.93,6.004742,6,146,1,11,87,2,2,4,2,9,1,1,266,0,1,1,1,1,4,273
uuid,3,2026-03-11T05:16:46.309028+00:00,40.2,0.181705,2,1,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,1,4
uuid,4,2026-03-11T05:17:26.854728+00:00,40.51,0.181423,2,1,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,1,4
uuid,5,2026-03-11T05:27:29.237302+00:00,602.35,4.352636,5,95,0,8,80,2,2,4,1,1,1,1,195,0,1,1,1,1,4,201
vector,1,2026-03-11T05:51:01.068235+00:00,34.53,0.223735,2,1,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,1,4
vector,2,2026-03-11T05:51:37.618270+00:00,36.45,0.229591,2,1,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,1,4
vector,3,2026-03-11T05:52:12.723788+00:00,34.98,0.217453,2,1,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,1,4
vector,4,2026-03-11T05:52:46.229496+00:00,33.33,0.225397,2,1,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,1,4
vector,5,2026-03-11T05:53:22.566295+00:00,36.23,0.220866,2,1,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,1,4
window,1,2026-03-11T06:08:48.354605+00:00,925.56,6.789368,6,90,8,16,72,2,6,4,2,2,1,1,204,2,1,1,1,1,4,212
window,2,2026-03-11T06:08:57.090260+00:00,568.81,3.457563,6,27,21,24,3,0,1,4,5,1,1,1,88,1,1,1,1,1,4,96
window,3,2026-03-11T06:24:32.038401+00:00,943.42,7.525262,5,111,18,8,96,0,2,4,3,1,1,1,245,1,1,1,1,1,4,251
window,4,2026-03-11T06:21:08.110629+00:00,727.73,4.830776,6,85,2,10,65,0,3,4,2,2,1,1,175,0,1,1,1,1,4,184
window,5,2026-03-11T06:28:36.158139+00:00,447.82,2.69484,6,35,10,19,2,0,2,4,3,2,1,1,79,0,1,1,1,1,4,87
xmlfilterimpl,1,2026-03-11T06:35:35.444449+00:00,660.15,5.48238,2,12,1,0,1,0,3,4,1,2,0,0,24,0,1,1,1,1,4,37
xmlfilterimpl,2,2026-03-11T06:29:29.936071+00:00,48.24,0.208655,2,1,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,1,4
xmlfilterimpl,3,2026-03-11T06:34:41.413999+00:00,311.41,1.587172,5,17,2,28,2,0,1,4,3,1,1,1,60,3,1,1,1,1,4,66
xmlfilterimpl,4,2026-03-11T06:50:22.221882+00:00,937.33,4.732463,7,36,9,31,3,0,4,4,2,10,0,0,101,1,1,1,1,1,4,109
xmlfilterimpl,5,2026-03-11T06:43:10.530683+00:00,451.52,3.220672,6,68,1,8,57,1,2,4,1,1,1,1,145,0,1,1,1,1,4,153
zipfile,1,2026-03-11T06:47:24.295805+00:00,250.64,1.351949,5,32,5,10,1,1,3,4,2,2,1,1,62,1,1,1,1,1,4,68
zipfile,2,2026-03-11T06:51:49.304651+00:00,259.64,1.363768,5,30,4,17,2,0,1,4,2,2,1,1,64,1,1,1,1,1,4,70
zipfile,3,2026-03-11T06:54:52.452841+00:00,268.11,1.595185,2,10,5,1,1,1,1,4,2,2,0,0,27,1,1,1,1,1,4,38
zipfile,4,2026-03-11T06:57:29.835175+00:00,335.64,1.439773,6,34,5,9,1,2,2,4,2,2,1,1,63,1,1,1,1,1,4,71
zipfile,5,2026-03-11T06:59:21.329261+00:00,260.69,1.24589,6,23,6,12,1,0,1,4,3,2,1,1,54,1,1,1,1,1,4,62
zipoutputstream,1,2026-03-11T07:05:20.666159+00:00,464.74,1.83417,7,27,2,0,1,4,1,4,2,2,0,0,45,0,1,1,1,1,4,52
zipoutputstream,2,2026-03-11T07:20:09.739835+00:00,1235.55,0.0,0,47,11,11,2,5,4,4,2,7,1,1,95,0,1,1,1,1,4,101
zipoutputstream,3,2026-03-11T07:16:00.897929+00:00,612.95,2.448721,8,23,2,2,7,0,3,4,3,15,0,0,61,1,1,1,1,1,4,70
zipoutputstream,4,2026-03-11T07:34:07.192305+00:00,1082.4,0.0,0,42,17,9,1,0,3,5,2,12,0,0,91,1,1,1,1,2,5,105
zipoutputstream,5,2026-03-11T07:32:16.915143+00:00,700.02,2.568089,2,24,3,0,1,2,1,4,2,3,0,0,40,0,1,1,1,1,4,52
